Index,date Creation,date Actualisation,Offres d'emploi,Missions,Compétences,Qualifications Pro,Types de contrat,Lieu de travail,Entreprise,Qualifications
0,2023-05-03T08:50:07.000Z,2023-05-03T08:50:09.000Z,Automaticien / Automaticienne chef de projet             (H/F),"Vous étudierez, chiffrerez et gérerez des projets complets dans les domaines de l'automatisme et de l'informatique industrielle.

Vous serez responsable des relations avec les clients et de la gestion technique et financière des projets.","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'S'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'S'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'S'}, {'code': '104537', 'libelle': ""Paramétrer un programme d'automatisation pour un automate programmable"", 'exigence': 'S'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'S'}]","[{'libelle': 'Faire preuve de réactivité', 'description': ""Capacité à réagir rapidement face à des évènements et à des imprévus, en hiérarchisant les actions, en fonction de leur degré d'urgence / d'importance.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDI,"{'libelle': '59 - MARCQ EN BAROEUL', 'latitude': 50.676748, 'longitude': 3.100594, 'codePostal': '59700', 'commune': '59378'}","{'nom': 'PHILIPPE HOSTI CONSEIL', 'description': ""Entreprise industrielle du secteur de l'imprimerie tournée vers la qualité au service de ses clients"", 'url': 'http://www.philippehosticonseil.com', 'entrepriseAdaptee': False}",Cadre
1,2023-04-18T09:26:55.000Z,2023-04-20T03:33:15.000Z,Automaticien / Automaticienne chef de projet,"Notre client, acteur majeur dans le secteur du Nucléaire a pour vocation de porter le renouvellement du parc nucléaire français, de soutenir le développement des nouveaux projets nucléaires français à l'International et de capitaliser le retour d'expérience.

Il possède un centre d'ingénierie qui fait régulièrement appel à l'expérience d'Assystem afin de l'appuyer sur les métiers du Contrôle-Commande.

Assystem renforce ses équipes et recrute un Technicien Contrôle-Commande H/F pour renforcer son équipe Basic Design dédiée au projet HPC :

A ce titre, vos missions sont les suivantes :

- Analyse fonctionnelle,
- Analyse d'impacts,
- Programmation des automates sous l'outil TEC4,
- Vérification croisée de la programmation des automates,
- Programmation des images de conduite (IHM) et des fiches d'alarme,
- Tests et validation des programmes.

PROFIL

De formation BAC+2 à +3 en Automatisme/Informatique Industrielle, vous disposez d'une expérience significative dans ce domaine acquise idéalement dans le secteur du Nucléaire.

Vous avez de bonnes capacités rédactionnelles, un excellent relationnel et vous appréciez le travail en équipe. Lors de votre mission, vous évoluez dans une équipe composée d'Ingénieurs et de Techniciens. Selon votre expertise, vous bénéficiez d'un compagnonnage pour monter en compétences notamment sur l'outil TEC4.","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'S'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'S'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'S'}, {'code': '104537', 'libelle': ""Paramétrer un programme d'automatisation pour un automate programmable"", 'exigence': 'S'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'S'}]","[{'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDI,"{'libelle': '92 - MONTROUGE', 'latitude': 48.815929, 'longitude': 2.316224, 'codePostal': '92120', 'commune': '92049'}","{'nom': 'ASSYSTEM ENGINEERING AND OPERATION SERVI', 'description': ""Assystem sur le Cotentin c'est 300 collaborateurs répartis sur 4 agences Cherbourg, Caen, Brest et Nantes, intervenant pour le compte d'industriels de renom, à savoir AREVA traitement des déchets, EDF projet EPR ou encore DCNS. Depuis plus de quatre ans, EDF fait confiance à Assystem pour le pilotage des contrats de l'ilot nucléaire de l'EPR Flamanville 3.\nParticipez vous aussi au programme EPR et rejoignez nos 250 collaborateurs impliqués sur la conception  et la mise en service des réacteurs"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/5S1z8ZjBSK6Xlo6z4WnHcDhJ24kwalMo.png', 'url': 'https://www.assystem.com/fr/', 'entrepriseAdaptee': False}",Technicien
2,2023-04-14T12:05:01.000Z,2023-05-02T16:12:31.000Z,Automaticien / Automaticienne chef de projet,"Envie de rejoindre l'équipe d'Hervé? Nous recrutons en CDI un(e) Configurateur de systèmes connectés basé(e) à Nantes pour des interventions sur la zone Ouest de la région

Vos missions principales sont :

- configuration des automatismes / objets connectés dans l'environnement services énergétiques en conformité avec les règles et procédures définies par le Groupe.

- configuration de l'architecture des outils de télé activité en conformité avec les règles et procédures définies par le Groupe.

- accompagnement et pilotage des déploiements menés par les différents configurateurs systèmes connectés.

- proposition et chiffrage de solutions intégrées à nos offres clients.

- accompagnement de l'exploitation dans la transformation de son activité quotidiennes par l'utilisation de ces solutions connectées

Titulaire d'un Bac+ 3 en automatisme, domotique ou informatique industrielle, vous avez idéalement une première expérience dans un poste similaire et/ou dans l'exploitation d'équipements thermiques et climatiques.

Vous maîtrisez les systèmes connectés, la régulation, l'automatisme (automates, réseaux et protocoles...), le contexte réglementaire technique et QHSE. 

Vos points forts :
- Votre capacité d'analyse technique et méthodologique
- Votre aptitude au travail en équipe et en mode projet.
- Vos capacités d'adaptation, votre autonomie, votre rigueur.","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'S'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'E'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'S'}, {'code': '104537', 'libelle': ""Paramétrer un programme d'automatisation pour un automate programmable"", 'exigence': 'S'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'S'}]","[{'libelle': 'Faire preuve de curiosité', 'description': ""Capacité à aller chercher au-delà de ce qui est donné à voir, à s'ouvrir sur la nouveauté et à investiguer pour comprendre et agir de façon appropriée.""}, {'libelle': 'Avoir le sens du service', 'description': 'Capacité à identifier (voire anticiper) les besoins des usagers, clients (internes et externes) et à apporter une réponse adaptée afin de les satisfaire.'}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}]",CDI,"{'libelle': '44 - NANTES', 'latitude': 47.239367, 'longitude': -1.555335, 'codePostal': '44000', 'commune': '44109'}","{'nom': 'DALKIA FRANCE', 'description': ""Dalkia-groupe EDF- région Centre Ouest ( 1000 salariés/ 300 M? CA) - producteur d'économies d'énergie"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/IIZ8tkKpoC9NGawpygVjEwkBbDnSBaCb.png', 'url': 'http://www.dalkia.fr', 'entrepriseAdaptee': False}",Agent de maîtrise
3,2023-04-04T12:10:10.000Z,2023-05-02T17:54:36.000Z,Automaticien / Automaticienne chef de projet (H/F),"- Piloter la réunion de passation entre le service commercial et le service projets ;
- Réaliser les kick off meeting clients;
- Piloter les réunions de suivi de projets ;
- Valider les documents officiels (documents techniques) ;
- Piloter et assurer le suivi de projets (coûts/qualité/délais);
- Manager opérationnellement une équipe technique (interne ou externe);
- Effectuer un reporting clients/fournisseurs et N+1 ;
- Donner les informations nécessaires aux services connexes : service qualification, comptable, logistique etc.;
- Réaliser les comptes-rendus de réunions;
- Etablir et piloter le suivi des actions;
- Etablir des bilans de projets et réaliser les réunions de clôture.
- Concevoir les spécifications de l'installation en fonction du cahier des charges;
- Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation;
- Vérifier le fonctionnement par une série de tests sur plateforme d'essai dans atelier et/ou sur site;
- Présenter les spécificités techniques aux clients ou utilisateurs (formation) et les accompagner dans la prise en main de l'équipement;
- Assurer le SAV (revamping);
- Participer à l'élaboration des programmes. 

PROFIL: 
- Formation BAC +5; 
- 1ère expérience professionnelle: alternance ou 1er emploi;
- Connaissances techniques: P&ID, schéma électrique, schéma d'implantation;
- Connaissance logiciel: TIA PORTAL;
- Connaissance en métrologie: automatisation des mesures;
- Anglais technique apprécié.", , ,CDI,"{'libelle': '95 - FRANCONVILLE', 'latitude': 48.98921, 'longitude': 2.224145, 'codePostal': '95130', 'commune': '95252'}","{'nom': 'STERIGENE', 'description': ""Notre activité :\n Conception, expertise et installation d'équipements de stérilisation, traitement d'eau et de procédés associés, y compris le lavage et la décontamination pour des applications pharmaceutiques et médicales tels que :\n- Stérilisation,\n- Prétraitement, déminéralisation, distillation,\n- Lavage,\n- Mobilier inox et consommables pour salles blanches,\n- Formation, qualification, validation, SAV, maintenance, épreuve hydraulique...\nPour plus de détails : www.sterigene.com"", 'url': 'https://sterigene.com/', 'entrepriseAdaptee': False}", 
4,2023-03-31T17:54:22.000Z,2023-04-26T16:08:11.000Z,Automaticien / Automaticienne chef de projet  (H/F),"SERAI est une société d'études et de réalisation d'automatismes industriels.
Nous intervenons dans le secteur de la Machine Spéciale, et du traitement de l'eau.

Dans le cadre de notre développement, nous recherchons un Electricien - Automaticien (H/F) pour renforcer notre équipe.

Vous prendrez en charge l'intégralité du processus Electrique - Automatisme. 
Ainsi, vos missions seront les suivantes :
-	Chiffrage des projets clients
-	Conception et réalisation des schémas électriques
-	Sélection et approvisionnement des composants
-	Programmation Automates, Variateurs et Supervision
-	Mise au point en nos ateliers
-	Mise en service chez le client final, si besoin

Connaissances requises :
-	Automates : Schneider, Siemens
-	Variateurs : Schneider, Sew Usocome

Une expérience sur d'autres marques d'automatisme, ainsi qu'en vision industrielle et robotique serait un plus.

Vous justifiez d'une expérience significative de 5 ans minimum dans un environnement similaire en Machines Spéciales.
Vous disposez d'une bonne capacité d'écoute et d'autonomie, ainsi que d'un esprit d'équipe pour mener à bien les projets qui vous seront confiés.","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'S'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'E'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'E'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'E'}]","[{'libelle': ""S'adapter aux changements"", 'description': ""Capacité à s'adapter à des situations variées, à réagir à l'imprévu, gérer l'incertitude pour s'ajuster à des organisations, des collectifs de travail, des habitudes, des valeurs propres à l'entreprise.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDI,"{'libelle': '44 - ANCENIS ST GEREON', 'latitude': 47.385136, 'longitude': -1.197698, 'codePostal': '44150', 'commune': '44003'}","{'nom': 'S E R A I', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/l01o7gpGK2AbtnhiF2feKfTQBPsuFezt.png', 'entrepriseAdaptee': False}",Technicien
5,2022-12-30T13:44:18.000Z,2023-05-02T09:49:50.000Z,Automaticien / Automaticienne chef de projet,"AUTOMATICIEN - Chef de Projet en Automatisme  - H/F

Notre client, la Sté STARTECH (https://www.tech-tech.fr/), PME de 50 personnes en forte croissance, développe, fabrique et installe depuis plus de 30 ans des machines spéciales de haute technologie, lignes d'usinage, d'assemblage ou de transfert, et îlots robotisés destinés à différents secteurs industriels (horlogerie, médical, automobile, ...).


Chez STARTECH vous aurez la possibilité d'évoluer au sein d'une entreprise familiale, à taille humaine, aux valeurs humaines fortes et aux compétences techniques renommées.

 
Mission principale :

Prendre en charge des projets en Automatisme FANUC / Machines Spéciales
Poste : 

Rattaché au Responsable du BE Automatisme, vous aurez la charge de :

Concevoir des solutions techniques automatismes, électriques, électroniques et la réalisation des schémas de câblage des machines en concertation avec le bureau d'études mécaniques.
Réaliser la programmation, le réglage et la mise en route des organes de commandes et pilotage sur les machines spéciales conformément aux spécifications clients, et vous assurez la maintenance dans le cadre du SAV.
Participer à la planification de la réalisation des machines jusqu'à la livraison.
Définir les notices techniques d'utilisation des machines spéciales.
Participer à la réalisation des devis sur la partie automatisme, électriques, robotique
Participer aux choix stratégiques de l'entreprise en matière de matériel installé sur les machines.



Profil :

De formation Bac+2 à +5 type Master ou Ingénieur, vous justifiez d'une grande expérience sur un poste similaire.


Compétences recherchées :

Compétences en automatisme sur FANUC : programmation FANUC (Siemens serait un plus)
Compétences en informatique : Programmation PC : Windows, Delphi, C++, ...
Connaissance code ISO,
 

Compétences appréciées :

Programme vision (Cognex, Keyence...)
Anglais : serait un plus
  


Nos locaux sont implantés en pleine nature, dans un cadre de travail privilégié, avec une équipe jeune et dynamique, où « travail dans la bonne humeur » sont les maitres mots !
L'entreprise propose également de nombreux avantages pour ses collaborateurs (mutuelle, 13ème mois, participation, intéressement, chèques cadeaux ).


Référence de l'offre : GK 21 04 03","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'E'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'E'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'E'}, {'code': '104537', 'libelle': ""Paramétrer un programme d'automatisation pour un automate programmable"", 'exigence': 'E'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'E'}]","[{'libelle': 'Prendre des initiatives et être force de proposition', 'description': 'Capacité à initier, imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou améliorer une situation. Être proactif.'}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDI,"{'libelle': '25 - DAMPRICHARD', 'latitude': 47.244239, 'longitude': 6.876659, 'codePostal': '25450', 'commune': '25193'}","{'nom': ""GK ACTIV'RESSOURCES"", 'description': 'GK ACTIV, RESSOURCES, Cabinet de recrutement indépendant : Gilles KONECKI, Consultant en recrutement, vous accompagne dans vos besoins de recrutement principalement en Bourgogne Franche Comté : sourcing, prestation complète de recrutement (approche directe, annonce, réseaux sociaux, entretien...) et évaluation des candidats. Vous êtes en recherche active, en veille ou à l écoute d opportunités professionnelles, le cabinet de recrutement GK ACTIV  RESSOURCES a l offre d emploi faite pour vous. GK', 'url': 'https://gkactivressources.fr/', 'entrepriseAdaptee': False}",Cadre
6,2023-05-03T09:32:51.000Z,2023-05-03T14:05:43.000Z,CHEF DE PROJET (H/F),"Dans le cadre de notre activité de recrutement, nous sommes à la recherche d'un CHEF DE PROJET (H/F) pour notre client situé dans l'agglomération Dijonnaise. 

Vos principales missions : 
-	Animer des rendez-vous avec le(s) client(s) afin d'identifier les besoins 
-	Participer à l'élaboration d'une stratégie
-	Rédiger un cahier des charges pour encadrer le projet 
-	Affecter les personnes compétentes qui prendront en charge une partie du projet et préparer les ressources matérielles ou immatérielles qui seront nécessaire à leur intervention 
-	Suivre le planning et le respect des contraintes 
-	Assurer le lien ente le client et les équipes pendant toute la durée de conception du projet 
-	Mesurer la réussite du projet grâce à des indicateurs de performance
 Profil requis :
Master en Management ou équivalent - Être organisé - Rigoureux - Bonnes capacités de communication - Savoir s'adapter et gérer son stress - Esprit d'équipe - Prendre des initiatives", , ,CDI,"{'libelle': '21 - DIJON', 'latitude': 47.331938, 'longitude': 5.034852, 'codePostal': '21000', 'commune': '21231'}","{'nom': 'CRIT INTERIM', 'entrepriseAdaptee': False}", 
7,2023-05-02T11:48:08.000Z,2023-05-02T12:15:37.000Z,Chef de projet industriel (H/F),"Nous recherchons pour un de nos clients, un chef de projet spécialisé(e) dans les projets d'automatisme en industrie. 

A ce titre, vous gérez la totalité des affaires confiées et assurez les missions suivantes : 
- Participer au chiffrage de projet - Organiser et piloter la ou les équipes projets 
- Assurer le suivi technique (études d'automatisme, électriques...) 
- Vérifier et valider les études (automatisme, électriques)
- Assurer le suivi financier du projet (coût, délai, planning...) 
- Entretien de la relation et suivi client 

Véritable garant(e) de la réussite du projet, vous veillez et respectez les standards et processus de l'entreprise. 
Vous vous reconnaissez dans ces missions, alors n'attendez plus, postulez! 

Soit en ligne, soit par mail à pierrelatte@interaction-interim.com 
Nous sommes également joignable au 04 87 11 00 45","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'S'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'S'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'S'}, {'code': '104537', 'libelle': ""Paramétrer un programme d'automatisation pour un automate programmable"", 'exigence': 'S'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'S'}]","[{'libelle': 'Prendre des initiatives et être force de proposition', 'description': 'Capacité à initier, imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou améliorer une situation. Être proactif.'}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDI,"{'libelle': '30 - LAUDUN L ARDOISE', 'latitude': 44.10335, 'longitude': 4.658462, 'codePostal': '30290', 'commune': '30141'}","{'nom': 'INTERACTION', 'entrepriseAdaptee': False}",Employé non qualifié
8,2023-04-24T10:44:13.000Z,2023-04-24T10:57:51.000Z,Chef de projet automatisme    (H/F),"Notre filiale ICONE, intégrateur spécialisé dans l'automatisme et l'informatique industrielle dans les milieux sensibles, basé à Noyarey, recherche: 

Un Chef de projet (H/F)

Sous la responsabilité du chargé d'affaire, vous contribuez à l'aboutissement des projets dans le respect des délais, des coûts et de la qualité tout en étant garant de la réalisation technique sur les projets dont vous avez la charge.
Dans ce cadre, vos principales missions seront les suivantes :
-	Réalisation des spécifications techniques détaillées (électrique, automatisme, informatique),
-	Pilotage des études en relation avec la direction technique et commerciale,
-	Suivi de la réalisation et des essais,
-	Préparation et suivi des chantiers et des mises en service,
-	Gestion du planning,
-	Suivi du budget,
-	Relation clients pendant le déroulement du projet.

Vous êtes titulaire d'une formation technique de niveau Bac+2 minimum et vous justifiez de 5 ans d'expérience sur un poste similaire dans le domaine de l'automatisme et l'informatique industrielle.
Pour réussir dans la fonction, vous avez une très bonne culture technique (automatisme, informatique industrielle), un très bon sens du contact, vous êtes rigoureux et à l'écoute.

Poste en CDI à pourvoir immédiatement idéalement mais préavis acceptés
Salaire à définir en fonction de l'expérience (40/50k€)","[{'code': '104552', 'libelle': 'Régulation et instrumentation', 'exigence': 'S'}, {'code': '104535', 'libelle': ""Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges"", 'exigence': 'S'}, {'code': '104536', 'libelle': ""Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation"", 'exigence': 'S'}, {'code': '104537', 'libelle': ""Paramétrer un programme d'automatisation pour un automate programmable"", 'exigence': 'S'}, {'code': '104540', 'libelle': ""Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"", 'exigence': 'S'}, {'libelle': 'relationnel', 'exigence': 'S'}]","[{'libelle': ""Être à l'écoute"", 'description': ""Capacité à écouter activement, réceptionner des informations et messages, faire preuve d'ouverture d'esprit et de diplomatie.""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDI,"{'libelle': '38 - NOYAREY', 'latitude': 45.245344, 'longitude': 5.624366, 'codePostal': '38360', 'commune': '38281'}","{'nom': 'ICONE', 'entrepriseAdaptee': False}",Technicien
9,2023-04-19T13:29:24.000Z,2023-04-23T17:56:06.000Z,CHEF DE PROJET AUTOMATISME ET INFORMATIQUE INDUSTRIELLE H/F (H/F),"Rattaché au responsable Automatisme et Informatique Industrielle, vous participez au plan de progrès des usines en apportant votre expertise métier auprès des services production, travaux neufs et maintenance. Vous menez également des projets d'inspection visuelle, d'automatismes et d'informatique industrielle. Vous travaillez régulièrement en mode transverse, avec des équipiers d'autres services et avez un lien fonctionnel avec le département IT.

Missions et activités spécifiques
- Contribuer à la définition de la stratégie d'inspection visuelle permettant d'effectuer les contrôles qualités sur différents produits (seringues, flacons ) sur l'ensemble des sites de production. 
- Mettre en place de nouveaux équipements de mirage automatique en intégrant l'équipe projet. Vous déterminez les paramètres de l'équipement permettant de répondre aux exigences réglementaires et de validations.
- Développer l'expertise technique au sein de votre entité. 
- Participer au déploiement de la stratégie Data Integrity (connexion et sécurisation réseaux, gestion des accès ) sur le parc machines existant ainsi que sur les nouveaux équipements. 
- Gestion de projets 
- Participer au déploiement, au maintien ainsi qu'aux évolutions réglementaires de la sérialisation et agrégation sur les lignes des sites de production.
- Assurer la conception et/ou modification de programmes d'automates et de supervisions : analyses fonctionnelles, études, développement des programmes.
- Participer aux investigations et à l'amélioration du fonctionnement des équipements avec votre expertise AII.
- Décliner la démarche qualité de l'entreprise dans votre périmètre d'intervention : définition et formalisation des méthodes de travail.
- Assurer une veille technologique.

Qualités requises
- Rigueur, organisation et autonomie
- Goût du travail en équipe et de la proximité terrain, qualités relationnelles
- Capacité à argumenter et influer les choix techniques
- Qualités rédactionnelles
- Sens de la traçabilité des opérations, des exigences de qualité
- Esprit d'initiative et pragmatisme

Profil
- Expérience significative en milieu pharmaceutique et de la Data Integrity
- Issu d'une formation en vision industrielle, ingénieur en automatisme ou technicien (BTS MAI/CIRA ou DUT GEII) avec une expérience de 5 ans minimum sur des fonctions similaires
- Solide expérience en vision industrielle et traitement d'image (Cognex, Basler )
- Maitrise des outils de développement en automatisme (Schneider, Siemens) et supervision (Wonderware, InTouch, WinCC, Zenon...)
- Bonne connaissance des réseaux de terrain TCP/IP, Profinet 
- Bonne maitrise des infrastructures informatiques et de la virtualisation
- Connaissance de la sérialisation et agrégation
- Capacité à exploiter les P&ID et analyses fonctionnelles des processus de fabrication de l'industrie pharmaceutique
- Maîtrise de l'anglais (documentation, échanges techniques avec fournisseurs et partenaires)", , ,CDI,"{'libelle': '69 - LYON 07', 'latitude': 45.733631, 'longitude': 4.840586, 'codePostal': '69007', 'commune': '69387'}","{'nom': 'LABORATOIRE AGUETTANT', 'entrepriseAdaptee': False}", 
