Index,date Creation,date Actualisation,Offres d'emploi,Missions,Compétences,Qualifications Pro,Types de contrat,Lieu de travail,Entreprise,Qualifications
0,2023-04-28T14:18:22.000Z,2023-04-30T08:40:35.000Z,Chef de projet SI - santé (H/F),"Description du contexte :


Le service de santé des armées (SSA), centré sur l'opérationnel, est un partenaire privilégié des composantes métiers (Médecine des Forces, Hôpital, Ravitaillement Sanitaire, Formation, Recherche).

En tant que chef de projet, vous êtes intégré au bureau Médecine des Forces, rattaché à la division SI Opérations de la DSIN-S et évolue sous la responsabilité du chef de bureau et intégrez une équipe de 8 personnes.


Vous intervenez dans toutes les étapes de la réalisation des projets informatique du périmètre qui vous est assigné. Vous êtes en relations avec tous les prestataires extérieurs et les responsables fonctionnels de votre périmètre métier.


Missions principales :

    Intervenir sur toutes les étapes de la réalisation d'un projet informatique : depuis le recensement et l'analyse des besoins, jusqu'à la mise en exploitation
    Etre force de proposition apporter son expertise aux membres de l'équipe sur la partie technique (analyse des besoins, procédures techniques)
    Organiser et animer les réunions projets
    Prendre en charge la mise en œuvre technique, calendaire et financière d'un projet
    Veiller à l'alignement des éléments techniques (applicatifs, infrastructure) avec les objectifs en matière de maîtrise des engagements de service (coûts, délais, qualité) et de satisfaction des utilisateurs
    Contribuer, en lien avec les équipes techniques, au maintien en condition opérationnelle (MCO) et au maintien en condition de sécurité (MCS)
    Assurer une veille sur les technologies relatives à son périmètre projet


Les missions se déclinent sur un périmètre large constitué de différents SI dédiés au suivi de la santé du personnel du Ministère.


Activités attachées au poste :

    Assurer le suivi du support technique des SI
    Participer à la création/évolution d'interfaces (interconnexion et interopérabilité)
    Participer aux différents comités de suivi et de pilotage
    Rédiger/valider les spécifications techniques des projets
    Analyser techniquement les offres des prestataires
    Mettre en place et faire remonter les indicateurs de suivi

Compétences attendues :

    Maitrise des méthodes de conduite de projet (cycle en V/ Agile)
    Maitrise des concepts généraux IT (Windows server, Linux, Réseaux TCP/IP, VLAN, SQL)
    Connaissances en API
    Connaissances en SSI/RGPD

Aptitudes :

    Rigueur, excellente gestion des priorités
    Être à l'écoute et capacité à communiquer
    Autonomie et polyvalence
    Aptitude et goût pour le travail en équipe

Autres informations :

Junior accepté", , ,CDD,"{'libelle': '94 - ST MANDE', 'latitude': 48.841526, 'longitude': 2.419441, 'codePostal': '94160', 'commune': '94067'}","{'nom': 'MINISTERE DES ARMEES', 'entrepriseAdaptee': False}", 
1,2023-04-08T01:35:34.000Z,2023-04-19T15:32:55.000Z,Chef de projet Santé EAI Interopérabilité (H/F),"Vous interviendrez en tant que Chef de projet interopérabilité et vous assurerez la gestion du volet interopérabilité dans le cadre du déploiement des nouvelles interfaces avec les éditeurs.

Piloter les différentes phases d'installation interopérabilité.
Piloter et réaliser des phases de tests avec les éditeurs
Participer à la rédaction des éléments documentaires liés au livrable interopérabilité
Etre responsable du livrable interopérabilité
Profil du candidat
De formation informatique, vous avez de l'expérience (minimum 5 ans) sur des projets interopérabilités.

- Connaissance des normes d'échanges utilisées pour la santé : HL7, IHE, Hprim Santé, Hprim XML
- Connaissance technique : SQL, réseau
- Technique de gestion de projet
- Autonomie, leadership, esprit collaboratif, écoute active
- Bonne communication, capacité à challenger les contributeurs aux projets","[{'code': '300688', 'libelle': 'Application web', 'exigence': 'E'}, {'code': '109846', 'libelle': 'Concevoir une application web', 'exigence': 'E'}, {'code': '109979', 'libelle': ""Surveiller le fonctionnement d'applicatifs et logiciels"", 'exigence': 'E'}, {'code': '300188', 'libelle': 'Rédiger un cahier des charges, des spécifications techniques', 'exigence': 'E'}, {'code': '300366', 'libelle': 'Recueillir et analyser les besoins client', 'exigence': 'E'}]","[{'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",CDD,"{'libelle': '92 - ISSY LES MOULINEAUX', 'latitude': 48.823903, 'longitude': 2.262888, 'codePostal': '92130', 'commune': '92040'}",{'entrepriseAdaptee': False},Employé qualifié
2,2023-04-25T14:03:37.000Z,2023-05-02T19:14:22.000Z,Chef de projet Education Thérapeutique du Patient (H/F),"Poste en CDI, à temps partiel 0,80 ETP 
Dans le cadre du déploiement du dispositif d'appui à la coordination porté par l'association, le chef de projet a en charge le pilotage et l'animation de la plateforme territoriale d'éducation thérapeutique du patient (ETP). Pour la réalisation de ses missions, il bénéficie du soutien d'un coordinateur de parcours référent ETP qu'il encadre sur cette fonction, ainsi que de l'appui du médecin coordinateur du dispositif.
En tant que tel, la fonction de chef de projet vise à favoriser la pratique de l'ETP sur le territoire d'exercice du dispositif d'appui à la coordination. Il contribue, à l'information des patients et des professionnels sur l'offre existante. Il appuie et accompagne les acteurs de l'ETP dans la mise en œuvre de leurs projets.
Pour ce faire, il est en lien et s'appuie sur les compétences des professionnels de santé, patients experts, patients et autres acteurs du territoire impliqués ou désirant s'impliquer dans des activités en lien avec l'éducation thérapeutique du patient. 
Il articule son action avec les dispositifs et priorités de santé publique, ainsi qu'avec les autres dispositifs d'appui à l'ETP.

Principales activités :
Proposer un appui et un accompagnement aux acteurs de l'ETP :
-	Assurer un soutien méthodologique pédagogique administratif et logistique aux structures effectrices sur : Le contexte et cadre législatif de l'ETP ; L'analyse et/ou à la construction d'un programme ; L'élaboration du contenu d'un programme l'évaluation du programme.
-	Concevoir, animer et administrer des ateliers méthodologiques collectifs dans les domaines de la mise en œuvre et de la coordination de l'ETP. 
Animer la coordination territoriale en ETP sur le territoire :
-	Repérer et analyser les besoins des acteurs de l'ETP ;
-	Animer le réseau des acteurs en lien ;
-	Faciliter la collaboration des acteurs autour de l'ETP.
Promouvoir l'ETP et l'activité de la plateforme sur le territoire :
Coordination de parcours :
-	En lien avec le coordinateur de parcours référent ETP, le responsable de l'équipe parcours, le chef de projet coordination territoriale et le médecin coordinateur diffuser une culture de l'ETP comme élément du parcours de santé au sein du service.
Développer des partenariats :
-	En lien avec l'équipe de cadres, contribuer au développement et à l'entretien des relations partenariales.
Autres activités :
-	En lien avec l'équipe de cadres : Prendre part à la mise en œuvre de la politique de l'association ; Prendre part à des groupes de travail territoriaux, départementaux ; régionaux ou nationaux contribuant au déploiement de la plateforme ETP ou du DAC ;
-	Prendre part à la stratégie de communication du service ;
-	Prendre part à la démarche qualité ;
-	Prendre part à l'élaboration du rapport d'activité, à l'élaboration de la feuille de route, au dialogue de gestion et à la revue annuelle de contrat.

Qualités / compétences attendues :
-	Connaissance du cadre règlementaire et des principales formations en ETP ;
-	Maîtrise des principes de la méthodologie et de la conduite de projet en ETP ; 
-	Connaissance du tissu sanitaire, social et médico-social ; 
-	Connaissances en littératie en santé ;

Profil : 
-	De niveau master 2 en lien avec l'éducation thérapeutique du patient ; 
-	Expérience en ingénierie/animation de projet en ETP appréciée.

Conditions d'exercice :
-	Poste basé au siège de l'association, télétravail possible ;
-	Convention collective de la branche de l'aide à domicile ; 
-	Statut cadre ; 
-	Déplacements à l'échelle du territoire d'intervention principalement, mais aussi de la région.

Modalités de candidature :
Envoyer CV et lettre de motivation pour le 19 mai 2023 au plus tard à Madame Cécile ROULLAND- Directrice de l'Espace Autonomie Santé Centre Bretagne - c.roulland@eascb.fr - 02.97.25.35.37
Entretien de recrutement : le lundi 12 juin 2023 après-midi","[{'code': '100541', 'libelle': 'Techniques de communication orales, écrites et numériques', 'exigence': 'E'}, {'code': '122255', 'libelle': ""Coordonner des actions de santé au sein d'un réseau de partenaires"", 'exigence': 'E'}, {'code': '122257', 'libelle': ""Coordonner des actions d'éducation au sein d'un réseau de partenaires"", 'exigence': 'E'}]","[{'libelle': 'Faire preuve de curiosité', 'description': ""Capacité à aller chercher au-delà de ce qui est donné à voir, à s'ouvrir sur la nouveauté et à investiguer pour comprendre et agir de façon appropriée.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}]",CDI,"{'libelle': '56 - PONTIVY', 'latitude': 48.064656, 'longitude': -2.969934, 'codePostal': '56300', 'commune': '56178'}","{'nom': 'Espace Autonomie Santé Centre Bretagne', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/X8ywNuo7S83V0FroEg2dDw27tnPAzwRo.png', 'entrepriseAdaptee': False}",Cadre
3,2023-04-20T13:50:02.000Z,2023-04-26T09:19:21.000Z,Chef de service - IME Trampoline (H/F),"Deltha Savoie recherche pour le secteur d'Albertville (73), un chef de service H/F pour un remplacement de 6 mois à pourvoir dés que possible.

Vos missions :
En cohérence avec le Projet Associatif Global, vous serez placé/e sous l'autorité du directeur. Le chef de service est membre de l'équipe de direction qui a pour missions de :
- garantir la construction, la mise en oeuvre et l'évaluation du projet personnalisé de l'enfant ;
- planifier et coordonner les actions des membres de l'équipe pluridisciplinaire ;
- accompagner les familles dans toutes les étapes du parcours de leur enfant ;
- participer à toutes les démarches institutionnelles et partenariales inhérentes à la mission de l'établissement.

Poste soumis à l'obligation vaccinale COVID 19","[{'code': '100541', 'libelle': 'Techniques de communication orales, écrites et numériques', 'exigence': 'S'}, {'code': '107969', 'libelle': 'Organisation du système sanitaire et social', 'exigence': 'S'}, {'code': '122255', 'libelle': ""Coordonner des actions de santé au sein d'un réseau de partenaires"", 'exigence': 'S'}, {'code': '122257', 'libelle': ""Coordonner des actions d'éducation au sein d'un réseau de partenaires"", 'exigence': 'S'}, {'code': '300408', 'libelle': ""Rédiger un rapport, un compte rendu d'activité"", 'exigence': 'S'}]","[{'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': ""Être à l'écoute"", 'description': ""Capacité à écouter activement, réceptionner des informations et messages, faire preuve d'ouverture d'esprit et de diplomatie.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}]",CDD,"{'libelle': '73 - ALBERTVILLE', 'latitude': 45.669904, 'longitude': 6.393809, 'codePostal': '73200', 'commune': '73011'}","{'nom': 'DELTHA SAVOIE', 'entrepriseAdaptee': False}",Employé qualifié
4,2023-04-28T16:32:18.000Z,2023-05-03T10:03:04.000Z,CHEF DE PROJET EDUCATIF ET SOCIAL (H/F),"LE CHEF DE PROJET SERA RESPONSABLE DE LA MISE EN ŒUVRE DE L'ACCOMPAGNEMENT A LA SCOLARITE ET DES ANIMATIONS SOCIO-EDUCATIVES POUR LES 6-15 ANS, DU CHANTIER VERS L'INSERTION ET DU DEVELOPPEMENT DE PROJETS INNOVANTS A DESTINATION DES ENFANTS ET DES JEUNES. Le service Projets Innovants : Prévention Générale - Accompagnement à la scolarité et animations socio-éducatives des 6 / 15 ans ; Chantier éducatif vers l'insertion - 16 / 25 - Accompagnement à l'insertion professionnelle ; Développement et mise en œuvre de projets éducatifs innovants et à impact.
En tant que Chef de service vous aurez la charge du développement et du pilotage, de la programmation, de l'animation et du suivi des activités afin de garantir l'atteinte des objectifs des projets dont vous êtes le référent.
Vous serez le garant de la mise en œuvre des activités du service et des procédures internes 
Vous assurez le recrutement et le management d'une équipe de salariés, volontaires, stagiaires et bénévoles 
Vous assurez la coordination du réseau partenarial
Vous assurez le suivi administratif et budgétaire, le monitoring, l'évaluation et le reporting internes et externes des projets du service 
Vous êtes force de proposition pour développer de nouveaux projets innovants et à impact
Vous assurez la recherche de financements pour les projets dont vous avez la charge avec le soutien de l'équipe siège

Niveau Master ou équivalent en gestion de projet social 
Expérience et forte motivation pour les enjeux du travail social et de l'éducation populaire  
Expérience professionnelle réussie de 3 ans en développement et mise en œuvre de projets sociaux
Expérience réussie en recherche de financements
Expérience réussie d'encadrement d'équipe et de travail en partenariat 
Maitrise du cycle de projet
Compétences en gestion RH, administrative et budgétaire
Excellentes capacités rédactionnelles, communication et informatique 
Adaptabilité / Polyvalence 
Bonnes qualités relationnelles, capacités de travail et coordination d'équipe 
Rigueur, sens de l'organisation, esprit de synthèse","[{'code': '121030', 'libelle': 'Outils de gestion de projet', 'exigence': 'S'}, {'code': '300408', 'libelle': ""Rédiger un rapport, un compte rendu d'activité"", 'exigence': 'S'}, {'code': '300440', 'libelle': 'Animer, coordonner une équipe', 'exigence': 'E'}, {'code': '300469', 'libelle': 'Préparer et animer une réunion, un groupe de travail, un atelier', 'exigence': 'S'}, {'code': '300487', 'libelle': 'Piloter une activité', 'exigence': 'E'}]","[{'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}]",CDI,"{'libelle': '95 - ARGENTEUIL', 'latitude': 48.948465, 'longitude': 2.248202, 'codePostal': '95100', 'commune': '95018'}","{'nom': 'LE VALDOCCO', 'description': ""Depuis 1995, l'association Le Valdocco travaille auprès d'enfants et d'adolescents en difficulté sur différents quartiers de la ville d'Argenteuil. Notre approche globale (faire le lien entre Famille, Ecole et Cité) nous a amené à développer des activités variées, allant de l'animation de rue à la Prévention Spécialisée, et passant par des dispositifs de prévention du décrochage scolaire ou des activités de soutien à la scolarité.\n\nRémunération: selon C.C.N.66."", 'url': 'http://www.levaldocco.fr', 'entrepriseAdaptee': False}",Employé qualifié
5,2023-04-18T16:45:03.000Z,2023-04-28T15:20:38.000Z,Chef.fe de projet Accompagnement Social - Pôle Programmes (H/F),"Date de début : Dès que possible

Type de contrat : CDI

Lieux : Pantin + déplacements fréquents

 à prévoir à

Pré-Saint-Gervais/Lilas/Bagnolet

Aubervilliers

Le Groupe Ares, Association pour la Réinsertion Économique et Sociale, est le premier acteur de l'insertion par l'activité économique en Ile-de-France. Depuis 1991, nous favorisons l'insertion de personnes en grande exclusion (chômeurs de longue durée, jeunes sans qualification, etc.) en leur proposant un parcours d'insertion fondé sur le travail salarié et un accompagnement social et professionnel individualisé.

Pour accompagner près de 3000 personnes par an (incluant les salariés en insertion et les bénéficiaires de nos programmes), plus de 400 salariés permanents travaillent au siège à Pantin et dans les 17 établissements du groupe.

Dans le cadre de la renationalisation du RSA, le Conseil Départemental a lancé un appel à manifestation d'intérêt pour identifier des opérateurs afin de piloter les Agences Locales d'Insertion, dont la mission est de proposer une nouvelle offre d'accompagnement socio-professionnel pour les allocataires du RSA. Ces ALI (Agences Locales d'Insertion) s'inscrivent en complément de Pôle Emploi (qui effectue le suivi des bénéficiaires n'ayant pas ou peu de difficultés sociales) et des travailleurs sociaux en circonscription sociale (pour les parcours à forte dominante sociale).

Sous la responsabilité du/ de la directeur.trice de programme ALI, le/la chef.fe de projet accompagnement social a un rôle clé dans l'accompagnement des équipes sociales mobilisées au sein des Agences Locales d'Insertion (ALI), dans la mise en œuvre du projet social et de la méthodologie d'accompagnement et dans le développement des partenariats locaux.

Vos principales missions consisteront à :

Structurer la méthodologie sociale des ALI
Contribuer à recruter, intégrer et accompagner les équipes sociales des ALI
Soutenir les équipes sociales dans le lancement opérationnel des agences
Piloter la démarche d'amélioration continue de la méthodologie d'accompagnement des ALI
Apporter une expertise spécifique sociale complémentaire
Développer la dynamique partenariale

Votre formation : Formation Master 2 en travail social, ou une expérience significative dans l'insertion et l'emploi

Votre expériences et compétences : Entre 5 et 10 ans d'expérience sur des missions d'accompagnement social et des compétences d'animation de groupes de travail, et de formation/accompagnement au développement des compétences des équipes. Une solide connaissance de l'accompagnement des publics très éloignés de l'emploi et une expérience en gestion de projets sont requises.

Vos qualités personnelles : travail en équipe, autonomie, rigueur, anticipation et prise d'initiative. Construction du lien avec le partenaire, les collectivités et les acteurs institutionnels. Capacités éprouvées d'accompagnement d'une équipe à sa montée en compétences.

Votre rémunération : CDI, statut cadre (classe IIIC dans la grille interne), 3089 € bruts mensuel, 39 heures hebdomadaires, Tickets restaurant de 8 € (dont 60% à la charge de l'employeur) par jour travaillé + mutuelle familiale + 6,5 jours de RTT + prime collective selon les résultats du groupe + jours de congés d'ancienneté. Possibilité de télétravail. Tarifs préférentiels sur l'achat de matériels reconditionnés (équipement informatique chez Ateliers Sans Frontières, équipement petits électroménagers chez RepareSeb).

Nos + : Un employeur labellisé Great Place to Work. Un travail passionnant et enrichissant dans une entreprise responsabilisante, des équipes bienveillantes, engagées pour un même idéal, des perspectives d'évolution de carrière et de mobilité au sein d'un groupe reconnu dans son secteur.", , ,CDI,"{'libelle': '93 - PANTIN', 'latitude': 48.900267, 'longitude': 2.409457, 'codePostal': '93500', 'commune': '93055'}","{'nom': 'ARES', 'description': 'Le Groupe Ares, Association pour la Réinsertion Économique et Sociale, est le premier acteur de l insertion par l activité économique en Ile-de-France. Depuis 1991, nous favorisons l insertion de personnes en grande exclusion (chômeurs de longue durée, jeunes sans qualification, etc.) en leur proposant un parcours d insertion fondé sur le travail salarié et un accompagnement social et professionnel individualisé.', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/4yBpyvGMSMEGYhBUZYlk9oy7XjTg9dBi.png', 'url': 'http://www.groupeares.fr/', 'entrepriseAdaptee': False}", 
6,2023-04-13T11:08:03.000Z,2023-04-17T14:56:26.000Z,Responsable Projet Industriel HSE H/F (H/F),"Vos missions sont les suivantes :

Le responsable HSE Projet Industriel est dédié (e) à la préparation et à la mise en application du système de management HSE des projets dont il ou elle est en charge, et suivant le périmètre ci-dessous :
-   Mise en place des politiques et programmes pendant toute la durée et tous les phases du projet.
-   Préparation du plan de déploiement du programme Pulse (programme de culture sécurité du groupe) 
-   S'assurer que les procédures et plans HSE pour le projet sont mis en place, en accord avec les demandes du client, les exigences du groupe 
-   Préparation de la stratégie HSE du projet et assiste le directeur / chef de projet dans la définition de l'imputabilité du groupe en cas d'incident HSE sur le projet
-   Mise en place et animation du processus de gestion des risques et de suivi des plans d'actions.
-   Mise en place des systèmes de mesures de performances HSE du projet : indicateurs proactifs et réactifs en accord avec les exigences du groupe et du client
-   Assurer un reporting mensuel au client, 
-   Dans un schéma d'exécution avec d'éventuels partenaires, et dans les termes des accords, agit en tant que leader opérationnel pour s'assurer que les meilleurs pratiques de l'industrie sont déployées pour le projet.
-   Participation ou gestion des enquêtes d'accident classés SIF (Haut potentiel)
-    Réalisation des audits et inspections sur le périmètre dont il a la responsabilité

Profils recherchés :
-      Titulaire d'un Master avec une spécialisation en Santé, Sécurité et Environnement avec expérience minimum de 7 à 10 ans dans une fonction similaire.
-      Une expérience de travail offshore serait un plus,
-      Auditeur certifié serait un plus,
-      Grandes qualités de leadership et de communication, capable de mener et défendre les exigences HSE du groupe tout au long des projets,
-      Capable de travailler dans un univers exigeant et mobile (déplacements ponctuels sur site en Afrique à prévoir),
-      Expérience de la mise en application des meilleurs pratiques HSE, incluant notamment les exigences de de l'ISO 45001 et ISO 14001,
-      Certificat BOSIET/HUET serait un plus.
Vous êtes intéressé.e par cette opportunité ? N'hésitez plus et rejoignez leurs équipes !

Rémunérations:
Type de contrat : CDI 
Salaire : Entre 60,000 et 64,000 € Brut /13 mois selon expérience
Avantages liés au grand groupe    
-  Possibilité de télétravail 
-  Déplacements possible pour rendre visite à des sous-traitants", , ,CDI,"{'libelle': '75 - PARIS 01', 'latitude': 48.859, 'longitude': 2.347, 'codePostal': '75001', 'commune': '75101'}","{'nom': 'DANEM PEOPLE FRANCE', 'entrepriseAdaptee': False}", 
7,2023-05-03T12:29:05.000Z,2023-05-03T12:29:05.000Z,RESPONSABLE D'APPLICATION ET CHEF DE PROJET DANS LES SI DE SANTÉ CDI (H/F),"Recherche: RESPONSABLE D'APPLICATION ET CHEF DE PROJET DANS LES SI DE SANTÉ CDI (H/F)
Vos missions
La Direction des Services Numériques (DSN) de L'AP-HP souhaite renforcer son équipe via le recrutement de Responsable d'application et de Chef de projet dans les SI de Santé.
La DSN recherche des Responsables dapplications afin de maintenir en conditions opérationnelles un portefeuille dapplications de SI Santé. Ils s'assurent du recueil et qualifient les demandes et les besoins de maintenance corrective, évolutive et/ou préventive sur les applications qui leur sont confiées, ainsi que les évolutions imposées par les éditeurs (arbitrage, priorisation, planification). Ils anticipent les évolutions techniques et assurent le support N2-N3 de leurs applications. Ils veillent également aux évolutions réglementaires (RGPD, Sécurité SI) et technologiques des SI sur leur périmètre applicatif. Ils s'assurent auprès de ses utilisateurs, des formations continues afin de former les nouveaux ut...", , ,CDI,"{'libelle': '75 - PARIS 01', 'latitude': 48.859, 'longitude': 2.347, 'codePostal': '75001', 'commune': '75101'}",{'entrepriseAdaptee': False}, 
8,2023-04-30T03:54:55.000Z,2023-04-30T03:54:55.000Z,Chef de projet IT Santé (H/F),"Choisir We+, c'est rejoindre un cabinet d'expertise IT proche de ses consultants, vous offrant des perspectives d'évolution ï&#x9A;&#x80; !
Certifiée Happy At Work 2022, We+ valorise vos compétences, encourage vos initiatives et s'engage dans une démarche RSE ï&#x8C;&#x8F;
Nos métiers d'expertise :- Mangement de projet- Infrastructure- Digital- Innovation
Vos missions:- Conduire l'ensemble des phases du cycle de vie du projet après cadrage, jusqu'à la fin de période de garantie, dans le respect des normes et méthodes en vigueur- Participer au cadrage des projets : déterminez le périmètre, estimez, coordonnez les chiffrages et participez à la consolidation des charges et ressources nécessaires, établissez le planning, identifiez les impacts fonctionnels et/ou techniques- Coordonner les travaux de fabrication : organisez, planifiez et veillez au respect des engagements et des livrables (jalons, ressources, coûts, délais, qualité, etc.)- Coordonner la réalisation et la mise à jour de la documentation projet- Vous communiquez auprès des équipes et des instances de pilotage- Vous effectuez le reporting projet, identifiez les risques et remontez les alertes- Veiller à la résolution des incidents, jusqu'à la fin de garantie- Réaliser des bilans de projet dans une optique d'amélioration continue
Votre profil:Vous avez minimum 2 ans d'expérienceVotre Leitmotiv est d'impulser une dynamique projet.Curieux(se) et diplomate, vous êtes à l'écoute des idées et méthodes de travail de vos pairs ! Le partage, l'échange et l'entraide sont des qualités importantes pour bien travailler ensemble.Reconnu par votre hauteur de vue, vous savez prendre du recul sur les différents sujets en cours
Un dernier mot ?Faites-vous confiance, rejoignez une structure en plein essor et épanouissez-vous !", , ,CDI,"{'libelle': '83 - TOULON', 'latitude': 43.125, 'longitude': 5.931, 'codePostal': '83000', 'commune': '83137'}","{'nom': 'We+', 'entrepriseAdaptee': False}", 
9,2023-04-21T12:35:58.000Z,2023-04-21T12:35:58.000Z,Chef de Projet Santé H/F,"Carte Blanche Partenaires intervient depuis 20 ans auprès des professionnels de santé et des assurances santé en développant des services innovants pour plus de 12,5 millions d'assurés, spécialiste de la santé visuelle, auditive et dentaire.Rattaché au Responsable Études et MOA, le Chef de Projet Santé aura pour principales missions :


Comprendre les parties prenantes de l'écosystème concerné (syndicats, enseignes, organismes représentatifs.) et en assurer les échanges,
Réaliser l'étude de marché avec le support d'expert,
Définir les principes directeurs de l'offre et sa modélisation économique,
Rédiger les conventions de partenariat avec les professionnels de santé,
Élaborer les contrats de partenariat,
S'assurer de la validité juridique du dispositif mis en place en collaboration avec les conseils externes, 
Rédiger l'expression de besoin pour l'application informatique de l'offre,
Rédiger et actualiser l'ensemble de la documentation de fonctionnement du réseau et des services,
Animer les ateliers de travail et la conduite du projet,
Participer aux instances techniques professionnelles.
De formation Bac +5 minimum, vous êtes issu d'une formation de type école de commerce ou master 2, avec idéalement une spécialisation en assurance santé. Vous justifiez d'une expérience d'au moins 5 ans à un poste similaire.


Vous savez très bien rédiger, vous avez un bon esprit d'analyse et d'anticipation. Vous êtes force de proposition, autonome, curieux, créatif, vous aimez travailler en équipe.


Poste ouvert aux personnes en situation de handicap.", , ,CDI,"{'libelle': '75', 'latitude': 48.85661, 'longitude': 2.35222, 'commune': '75056'}","{'nom': 'Michael Page', 'entrepriseAdaptee': False}", 
