Index,date Creation,date Actualisation,Offres d'emploi,Missions,Types de contrat,Lieu de travail,Entreprise,Qualifications
0,2023-04-28T09:32:32.000Z,2023-04-30T03:07:27.000Z,Automaticien (ne) / Technicien (ne) BE automatisme (F/H) (H/F),"6e Sens RH est un cabinet de recrutement et de conseil en ressources humaines.
Elodie, consultante recrutement recrute pour une entreprise familiale qui conçoit, fabrique et commercialise des solutions techniques industrielles sur mesure.
Pour accompagner sa croissance, nous recrutons un Projeteur Automatisme.

Poste	
Rattaché(e) au Bureau d'Etudes Electricité Automatisme, vous aurez en charge le développement et la mise en route de logiciels sur des machines spéciales.
En lien avec le BE Mécanique et les Chefs de projets, vos missions sont:

-Réaliser les études à partir du dossier de définition (analyses fonctionnelles, analyses de risques, définition des architectures)
-Rédaction des spécifications techniques d'automatismes pour permettre le codage des systèmes 
-Participer à la définition des solutions techniques en trouvant les solutions technico-économiques optimales basées le plus possible sur l'existant
-Réaliser la programmation automate
-Participer aux phases de tests
-Réaliser les études en cohérence complète avec le travail du bureau d'études mécanique.
-Réaliser les notices d'utilisation des matériels dont vous avez en charge l'automatisation.
-Assister clients et metteurs au point dans les phases de dépannage et démarrage des installations.
-Participer aux chiffrages et à l'amélioration continue.
-S'impliquer dans la réussite des projets en termes économiques et de délais.

-&gt; Des déplacements de courtes durées sont à prévoir

Issu(e) d'une formation type Bac+2/3 en en électrotechnique / automatisme,, vous avez acquis une expérience de 2 ans minimum en conception et mise en service de systèmes automatisés dans le monde industriel.

Vous avez des compétences en développement de programme automate. La connaissance des automates SCHNEIDER/SIEMENS sera un atout.
La partie réalisation de schémas électriques est un atout pour ce poste 

CDI - temps plein 

-Chèques restaurants
-Intéressement + participation correspondant ces dernières années à 1.5 mois de salaire
-Tarifs préférentiel pour accès à différents loisirs par l'intermédiaire du CE.",CDI,"{'libelle': '73 - CHAMBERY', 'latitude': 45.583223, 'longitude': 5.909299, 'codePostal': '73000', 'commune': '73065'}","{'nom': '6EME SENS RH', 'entrepriseAdaptee': False}",Agent de maîtrise
1,2023-04-28T08:45:55.000Z,2023-04-28T08:45:55.000Z,Automaticien roboticien / Automaticienne roboticienne  (H/F),"Mission générale du poste :
Spécialiste des systèmes automatisés, le technicien en automatisme facilite la production de tous types de systèmes, en maniant technologies classiques et programmation informatique.

Activités particulières du poste :
-	Comprendre les opérations de production à automatiser (instrumentation, analyse, mesure, dosage, régulation, déplacement d'un outil robotisé ),
-	Réaliser le développement et les modifications de programmes pour machines spéciales de conditionnement (moteurs d'axes, robots, contrôle vision, automates, interfaces homme/machine tactiles, caméra ),
-	Effectuer des relevés d'installation,
-	Rédiger les notices de réglages et d'utilisation,
-	Assurer la mise en service et réaliser les opérations de dépannage machines en nos ateliers et chez les clients finaux.",CDI,"{'libelle': '02 - HOLNON', 'latitude': 49.859067, 'longitude': 3.212605, 'codePostal': '02760', 'commune': '02382'}","{'nom': 'SARL SACMO', 'description': 'SACMO est une PME spécialisée dans les machines et les solutions techniques dédiées à l industrie du conditionnement. Nos clients sont principalement issus des secteurs de la cosmétique et de la pharmaceutique. Notre force consiste à proposer des solutions complètes allant de la conception à l installation sur site en passant par la fabrication, l assemblage et la programmation. \nRejoignez une équipe de passionnés motivés par les défis techniques et les nouvelles technologies !', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/RbaFcowZsHnp4SVQD08pXnr8LLopSrHf.png', 'url': 'http://www.sacmo.com/fr/home/people/joinus', 'entrepriseAdaptee': False}",Technicien
2,2023-04-26T15:32:24.000Z,2023-04-26T15:46:44.000Z,Technicien automaticien roboticien H/F (H/F),"Rôle : Déterminer les caractéristiques de chaque constituant d'un automatisme. Etablir le programme qui pilotera les équipements. Intégration de robot : concevoir les trajectoires. Assurer la mise en service et le démarrage chez le client. Assurer la veille technologique. Intervenir pour le SAV.
Salaire : à partir de 28 000€ (à négocier selon l'expérience).
Contrat en CDI de 37h/semaine du lundi au vendredi midi.

Avantages :
- Parcours de formation pris en charge intégralement par l'entreprise : programmation automate, robot, vision.
- Primes liées aux déplacements, accord d'intéressement, chèques vacances/cadeaux,  accès plateforme CE.
- Mise à disposition gratuite pour votre véhicule de bornes électriques.
- Dispositif d'aide à la location d'un véhicule neuf avec assurance incluse à tarif avantageux.

Nous vous demandons de bien vouloir nous envoyer une lettre de motivation en plus de votre CV.",CDI,"{'libelle': '15 - LAFEUILLADE EN VEZIE', 'latitude': 44.791628, 'longitude': 2.458263, 'codePostal': '15130', 'commune': '15090'}","{'nom': 'MECA THEIL', 'description': ""MECATHEIL, entreprise crée en 1998, comptant à ce jour plus une trentaine de salariés.\nLes activités principales de MECATHEIL sont la création et la fabrication de machines spéciales automatisées et robotisées.\nNotre équipe de travail polyvalente et nos infrastructures nous permettent de répondre à un large panel de clients et de maîtriser l'intégralité de chaque projet.\nPlus d'infos sur mecatheil.fr"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/m5wii9ptY7899R7wybIvzrSzHFbVxlHS.png', 'url': 'http://www.mecatheil.fr', 'entrepriseAdaptee': False}",Technicien
3,2023-04-24T10:42:26.000Z,2023-05-02T10:48:06.000Z,AUTOMATICIEN/ROBOTICIEN (H/F),"Mondrell Expert, Cabinet de recrutement, recherche pour un de ses clients, importante industrie dans les Ardennes près de Carignan, un Automaticien/Roboticien H/F.

Sous la responsabilité de votre Supérieur hiérarchique, vous serez en charge de :
- Participer à l'étude de faisabilité de nouveaux projets
- Assurer le développement des nouveaux projets en respectant le standard de gestion du processus d'industrialisation
- Définir les gammes de fabrications optimum
- Rechercher des solutions techniques
- Définir les temps opératoires, les vérifier et les valider au lancement en fabrication
- Assurer l'atteinte des objectifs de coût
- Définir le planning des activités associées à la réalisation des projets
- Créer les montages spécifiques : études, réalisation de plans, consultations et/ou réalisation interne, revue de plans et vérification
- Définir et rédiger les modes opératoires
- Implanter les postes de travail en garantissant le respect des règles d'ergonomie et des standards de temps opératoires définis
- Etablir les documents nécessaires au suivi des projets et formaliser le suivi sur les documents
- Etablir les demandes d'achats de matériels et matières premières (contact fournisseurs)
- Participer aux réunions de zones et prend en charge les actions identifiées
- Proposer des actions d'améliorations de productivité, de qualité et de sécurité
- Prendre en charge les modifications et améliorations des installations
- Piloter des résolutions de problèmes (formalisation en boucles courtes)",CDI,"{'libelle': '08 - CARIGNAN', 'latitude': 49.636329, 'longitude': 5.16473, 'codePostal': '08110', 'commune': '08090'}",{'entrepriseAdaptee': False},Technicien
4,2023-04-21T15:11:45.000Z,2023-04-24T11:54:34.000Z,Automaticien roboticien (H/F),"Votre agence PROMAN recherche pour l'un de ses clients un AUTOMATICIEN ROBOTICIEN H/F 

Vos missions consisteront à : 
- Échanger avec les différents intervenants (Bureau d'étude mécanique, électricité, atelier, organisme de certification). 
- Réaliser les études fonctionnelles et électriques (échanges clients, échanges fournisseurs, dimensionnement électrique, schémas électriques, découverte du nouveau matériel). 
- Réalisation des programmes sur automates Schneider ou Siemens, les écrans IHM et dialogues entre machines. 
- Programmation des variateurs. 
- Réalisation des programmes sur robot. 
- Mettre en place le système, corriger, optimiser pour monter en cadence (Mise au point des ensembles, adaptation au client, adaptation aux normes de sécurité ) 
- Élaborer et faire évoluer les notices techniques et les procédures. 
- Accompagner les clients ou les utilisateurs dans la prise en charge du système (formation utilisateurs et maintenance). 
Ce poste est à pourvoir dès que possible.


Profil recherché :
De formation BAC +2 au minimum, DUT génie électrique ou informatique industriel, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience de 5 ans dans l'automatisme idéalement dans le secteur industriel de la machine spéciale. 
Vous avez un bon relationnel, une très grande rigueur tout en restant à la fois très curieux(se). 
Vous êtes volontaire et vous savez vous adapter à une équipe collaborant pour l'évolution pérenne de l'entreprise. 

Vous maîtrisez les outils suivants : Automates : Schneider (PL7 pro, Unity ) Siemens (Step7, TIA Portal). IHM (Vijeo designer,GP-Pro EX, WinCC flexible). Robots (SRS). L'emploi de logiciel de CAO électrique type SEE Electrical. Langue : Anglais (lu, écrit, parlé) est un plus. 

Tous nos postes sont ouverts aux personnes en situation de handicap.",MIS,"{'libelle': '73 - CHAMBERY', 'latitude': 45.583223, 'longitude': 5.909299, 'codePostal': '73000', 'commune': '73065'}","{'nom': 'PROMAN', 'url': 'https://www.proman-emploi.fr/', 'entrepriseAdaptee': False}",Manœuvre
5,2023-04-21T09:38:29.000Z,2023-04-23T00:20:43.000Z,Automaticien roboticien / Automaticienne roboticienne       (H/F),"- Réaliser l'étude d'Automatisme des machines en appliquant les procédures et méthodologies de programmation, de mise en ?uvre tout en assurant le respect des objectifs de coûts et de délais

- Effectuer les contrôles liés à la mise en ?uvre fonctionnelle et à l'obtention des performances contractuelles (sécurité) lors de la mise en service sur le site client

- Faire la programmation des automates (SIEMENS/ STEP 5/7/ SCHNEIDER/ Logix 5000/ Rockwell/ )

- Réaliser les tests et les mises en service (montage, câblage, mise au point) en phase d'essais à blanc et sur site client final

- Accompagner les clients (formations, assistance à la production, SAV etc.)

Vous maîtrisez plusieurs automates et connaissez les environnements avec des systèmes automatisés individuels. Vous justifiez de compétences en électricité (si possible HT) et en mécanique générale.",CDI,"{'libelle': '25 - THISE', 'latitude': 47.278659, 'longitude': 6.070491, 'codePostal': '25220', 'commune': '25560'}","{'nom': 'PROACTIVE RH 25', 'description': ""ProactiveRH est à votre écoute ! Parce que nous croyons en votre potentiel ! \nVenez nous rencontrer en agence\nPROACTIVE RH - 60 rue de Vesoul - 25000 Besançon\n03.81.26.90.66 \n2022 : en route pour un recrutement dynamique avec vos agences Proactive RH Retrouvez vos recruteurs et nos offres d'emploi intérim, CDD, CDI, sur Besançon et la Région Bourgogne Franche-Comté https://www.proactiverh.fr"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/9536d8eaa0274af6a991ee37962a3050.png', 'url': 'http://www.proactiverh.fr', 'entrepriseAdaptee': False}",Technicien
6,2023-04-13T11:32:49.000Z,2023-04-13T16:30:35.000Z,Automaticien-Roboticien (H/F),"Intégré(e) au sein du Bureau d'études, vous travaillerez en collaboration avec le Bureau d'Etudes mécanique pour la réalisation de machines spéciales. Vous assurez la définition technique du matériel en collaboration avec le Responsable Projets. Vous créez le programme, le validez à l'atelier et le mettez en route chez le client.

Vos missions :

-	Apporter des solutions techniques
-	Analyser des schémas techniques du contrôle commande automatisme ou robotique
-	Etablir des fiches de test de validation technique
-	Effectuer des tests fonctionnels
-	Assurer la mise en service sur site
-	Se rendre disponible pour le démarrage en production
-	Effectuer les essais finaux avec le client
-	Constituer le dossier technique pour le client
-	Réaliser des dépannages
-	Dispenser des formations auprès des clients
-	Réaliser une veille technologique afin de vous instruire sur les nouvelles technologies, en vue de les intégrer à tous les niveaux produits.
-	En mode projet, vous réalisez des comptes rendus d'avancement auprès du Responsable Pro-jet ainsi que la mise à jour, du classement et de l'archivage des documents d'affaires.

Vous ?

-	Vous êtes titulaire d'une formation technique Bac + 2/3 minimum en automatisme type BTS CRSA /BTS MAI / Licence professionnelle Automatisme et Robotique  
-	Vous justifiez d'une expérience sur un poste similaire minimum de 5 à 10 ans et plus 
-	Connaissance en programmation d'automates (SCHNEIDER, SIEMENS S5/S7, ROCK-WELL,  )
-	Connaissance du « motion »
-	La polyvalence, l'autonomie, la rigueur et de bonnes aptitudes à travailler en équipe sont des atouts pour réussir cette mission",CDI,"{'libelle': '14 - VERSON', 'latitude': 49.155537, 'longitude': -0.453541, 'codePostal': '14790', 'commune': '14738'}","{'nom': 'GIF NORMANDIE CAEN', 'description': ""Gif Emploi Normandie est une agence spécialisée dans la délégation de personnel Bureau d'études et techniques.  Nous accompagnons les entreprises dont les besoins en ressources techniques sont de plus en plus soutenus."", 'url': 'https://www.gif-emploi.fr/', 'entrepriseAdaptee': False}",Technicien
7,2023-04-07T09:56:17.000Z,2023-04-13T16:44:27.000Z,Roboticien automaticien / Roboticienne automaticienne,"Dans le cadre de notre développement, nous cherchons à renforcer notre bureau d'études automatismes et robotique en recrutant un roboticien pour notre site de Caen. Nous concevons et réalisons des machines spéciales à destination de l'industrie.

Votre rôle sera de faire le développement, la programmation, les simulations, les suivis d'essais en atelier, ainsi que la mise en service des robots chez nos clients.

Compétences attendues :
- Avoir une solide formation en robotique (FANUC, STAUBLI, ABB, KUKA  )
- Avoir une expérience significative dans l'intégration d'ilots robotisés
- Avoir des connaissances techniques en automatismes
- Savoir analyser et maîtriser des risques qualitatifs, budgétaires et planning
- Savoir animer des réunions de travail et recevoir des clients.
- Doit se sentir personnellement responsable de la qualité du service rendu.

Profil recherché :
- Qualification : BTS / LICENCE en robotique et/ou automatisme
- Expérience professionnelle : Minimum 4 ans en tant que Roboticien (idéalement en machines spéciales)
- Esprit d'équipe, analytique et structuré.

Conditions :
Salaire : Selon profil
Lieu de travail : Bourguébus, 3 km de Caen (14)
Déplacements : 20% en moyenne
Contrat : Temps plein, CDI",CDI,"{'libelle': '14 - BOURGUEBUS', 'latitude': 49.121444, 'longitude': -0.291029, 'codePostal': '14540', 'commune': '14092'}","{'nom': 'C.R.E.I.', 'entrepriseAdaptee': False}",Technicien
8,2023-04-07T09:54:44.000Z,2023-04-23T20:52:05.000Z,Automaticien roboticien / Automaticienne roboticienne,"Dans le cadre de notre développement, nous cherchons à renforcer notre bureau d'études automatismes et robotique en recrutant un automaticien sur notre site de Caen. Nous concevons et réalisons des machines spéciales à destination de l'industrie.

Votre rôle sera de faire le développement, la programmation, les simulations, les suivis d'essais en atelier, ainsi que la mise en service chez nos clients de nos machines spéciales, ilôts robotisés ou lignes de production.

Compétences attendues :
- Avoir une solide formation en programmation de systèmes automatisés (SIEMENS, SCHNEIDER, ROCKWELL, MITSUBISHI)
- Avoir une expérience significative dans la mise en service de systèmes automatisés, ilots robotisés, lignes de production
- Avoir des connaissances techniques en intégration de matériel industriel
- Savoir analyser et maîtriser des risques qualitatifs, budgétaires et planning
- Savoir animer des réunions de travail et recevoir des clients.
- Doit se sentir personnellement responsable de la qualité du service rendu.

Profil recherché :
Qualification : BTS / LICENCE en automatisme
Expérience professionnelle : Minimum 2 ans en tant qu'automaticien (idéalement en machines spéciales)
Esprit d'équipe, analytique et structuré.

Conditions :
Salaire : Selon profil
Lieu de travail : Bourguébus, 3 km de Caen (14)
Déplacements : 25% en moyenne
Contrat : Temps plein, CDI",CDI,"{'libelle': '14 - BOURGUEBUS', 'latitude': 49.121444, 'longitude': -0.291029, 'codePostal': '14540', 'commune': '14092'}","{'nom': 'C.R.E.I.', 'entrepriseAdaptee': False}",Technicien
9,2023-04-07T08:58:37.000Z,2023-04-27T12:58:42.000Z,Roboticien automaticien / Roboticienne automaticienne (H/F),"Contexte
Dans le cadre du développement de son activité industrielle, SITIA recrute un(e) Ingénieur Automaticien / Roboticien pour son département Bancs d'essai (machines spéciales et machines de laboratoire, robotique industrielle et cobotique pour l'usine du futur). SITIA développe des bancs d'essai et les installe partout dans le monde pour les secteurs de l'automobile, de l'aéronautique, du machinisme agricole, du ferroviaire, des cycles, des laboratoires d'essai. 

Mission
Dans le cadre de votre fonction, vous :
-	Définissez les entrées sorties des machines (gestion capteurs, actionneurs, servitudes),
-	Développez les IHM, les programmes machine, les procédures d'essai et les rapports d'essai
-	Assurez la mise en route du système chez SITIA : intégration des composants, tests des sous-ensembles, tests globaux, validation de la machine et des résultats
-	Mettez en service le système sur le site client,
-	Formez les utilisateurs de la machine
-	Formalisez les documents associés
-	Assurez le suivi technique en après-vente

Ce poste comporte des déplacements en France et à l'étranger.
Vous travaillerez en équipe avec un Chef de projet , le B.E. Mécanique, le B.E. Electrique, les monteurs-câbleurs et les autres ingénieurs du pôle Contrôle/Commande.

Technicien Supérieur en Mesures Physiques, Automatisme ou Informatique Industrielle (GEII), vous êtes doté(e) d'un bon sens physique pour appréhender les problématiques mécaniques, électriques, pneumatiques, hydrauliques et robotiques ainsi que les contraintes liées aux mesures (capteurs). Vous maîtrisez les développements logiciels sous Labview (NI) et Codesys, et vous disposez de connaissances complémentaires sur les automates programmables, les noyaux temps-réels et les bus de terrain (EtherCat, CAN  ), ainsi que sur les langages de programmation (C, Javascript, Python  ).

Fort(e) de 3 à 5 ans d'expérience minimum sur un poste similaire, vous avez une forte envie de vous investir dans l'aboutissement des projets qui vous sont confiés. Vous êtes curieux(se), créatif(ve) et motivé(e) par des sujets innovants. Vous êtes doté(e) d'un bon sens relationnel. 
Merci d'envoyer votre candidature comprenant CV + lettre de motivation  sous la réf : Sitia 2022-S27.",CDI,"{'libelle': '44 - BOUGUENAIS', 'latitude': 47.17289, 'longitude': -1.616352, 'codePostal': '44340', 'commune': '44020'}","{'nom': 'SITIA', 'description': 'SITIA, société de la périphérie nantaise de taille humaine, PME spécialisée dans l\'étude et la réalisation de bancs d\'essais pour l\'industrie et dans le développement de solutions robotiques innovantes est en plein développement, \n\nQu\'attendez vous pour rejoindre une ""équipe motivée et participez à l\'industrialisation d\'un projet d\'envergure sur un robot agricole autonome et innovant', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/q4FzqcrbHeMj0rfq2cUXZ6CFRA8BzFCU.png', 'url': 'http://www.sitia.fr', 'entrepriseAdaptee': False}",Cadre
